IssueType,DeviceType,IssueTime,IssueDetails,MobileNumber,emailId,mode,cdn,DeviceDetails,OSDetails,platform,new_Platform,AppVersion,country,state,NetworkStrength,contentID,AdvertiseVideo,userIdentifier,ContractId,Customer_Id,ComplaintId
Security and anti-piracy,Desktop,27/03/2022 00:00:00,potenti nullam porttitor lacus at turpis donec posuere metus vitae,4016190347,gtullett0@prnewswire.com,Email,Cloudfront,iOS,iOS Min version 12.6,YouTube TV,,macOS Ventura 13.0.1,French Guiana,Cayenne,,4ab493d3-1a0e-44fc-848c-c2bf2c860ba1,Video,ewilson,32-8540983,1469590,759217
Security and anti-piracy,Tablets,10/05/2022 00:00:00,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,146998510,abayles1@cmu.edu,Phone Call,Cloudfront,tvOS,tvOS 11.0,BigFlix,,Xcode 14.1,Cook Islands,Avarua,,79804eaf-9013-4970-ba2c-c5b1f3cdc932,Advertise,robin12,25-9229010,1203873,2141773
Multiple user accounts,TV,27/07/2022 00:00:00,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,9928344523,tlancaster2@constantcontact.com,Phone Call,Cloudfront,Android,Android 5.0,Amazon Prime Video,,Android 11,Namibia,Windhoek,,19296da5-f880-4dbc-89c9-0b639b0fdded,Advertise,aguilarkim,78-7194379,1432761,2163100
Playback Quality,Desktop,26/07/2022 00:00:00,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,221503226,smees3@adobe.com,Phone Call,Cloudfront,Android TV,Android TV 1st Generation,Sling TV,,Android TV 12.3.2,Ghana,Accra,,32cb9812-971d-4177-9080-5618b2b1f373,Advertise,heathertorres,76-2104357,1207582,885638
Functionalities and features of the app,Desktop,03/02/2022 00:00:00,augue a suscipit nulla elit ac nulla sed vel enim sit amet,9051530633,mpauer4@usa.gov,Chat,Akamai,Roku,Roku OS 9.4 3rd Generation,Voot,,None,Saint Helena,Jamestown,,587e4560-8530-4621-bdd3-055b97f00531,Video,hendersonandrea,98-2263265,1674436,1027760
Offline content,Mobile,11/12/2021 00:00:00,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,649460863,zarnall5@rediff.com,Email,Cloudfront,Amazon Fire TV,All Fire TV devices,Peacock,,FireOS 7.6.1.3,Palestinian Territory,East Jerusalem,,0d5d85a6-50fb-49b7-a2e4-9f1fd1e997e1,Advertise,xbrooks,86-9032533,1213971,596562
Functionalities and features of the app,Desktop,11/12/2021 00:00:00,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,2960113020,dbuffham6@java.com,Phone Call,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Disney + Hotstar,,Windows 10,Micronesia,Palikir,,6dbed0b0-5ba6-48b3-86c0-b680847157bb,Video,gregorycassandra,02-1245598,1428822,1422680
Security and anti-piracy,Desktop,13/12/2021 00:00:00,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,6041765198,kraigatt7@cnn.com,Phone Call,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Alt Balaji,,Extension 6.5,Jersey,Saint Helier,,85593131-4ba4-4479-a04a-a00ea9d09ac4,Advertise,elliottrebekah,96-7236495,1705739,1420702
Response Time in different networks,Laptop,01/01/2022 00:00:00,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,4972338881,scorriea8@dot.gov,Email,Akamai,iOS,iOS Min version 12.6,Sonyliv,,macOS Ventura 13.0.1,Bangladesh,Dhaka,,72594b2a-d159-4c9a-a161-8f40be6dd2b3,Video,gabriel83,88-5550548,1715169,1654890
Better user interface and workability,Desktop,01/07/2022 00:00:00,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,4931062121,wmarney9@live.com,Phone Call,Cloudfront,tvOS,tvOS 11.0,Sling TV,,Xcode 14.1,Sint Maarten,Philipsburg,,eca11fec-7a2b-4d4e-8e63-a4f9064ce51b,Advertise,markbruce,24-2668812,1722991,1079567
Offline content,Tablets,19/07/2022 00:00:00,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,2361172410,pjumoneta@drupal.org,Phone Call,Akamai,Android,Android 5.0,Facebook Watch,,Android 11,China,Beijing,,a80e51ad-edb0-41da-9386-eeb6d951edd9,Advertise,rogerswilliam,22-1826143,1719964,2436165
Device/Browser Compatibility,Desktop,03/09/2022 00:00:00,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,2081271834,srosanderb@joomla.org,Email,Cloudfront,Android TV,Android TV 1st Generation,Sonyliv,,Android TV 12.3.2,Republic of the Congo,Brazzaville,,f5df7f5e-ced4-4a13-bb7f-2ebc3cfb4e67,Video,kathleenhenry,57-6627507,1818043,42864
Security and anti-piracy,Laptop,10/11/2022 00:00:00,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,1581799403,rcasaccioc@cisco.com,Phone Call,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Disney + Hotstar,,None,Montenegro,Podgorica,,1f6a80cb-5975-4fdb-821b-55ecd553f077,Video,xwilson,37-6086047,1231297,1772196
Device/Browser Compatibility,TV,12/09/2022 00:00:00,consequat metus sapien ut nunc vestibulum ante ipsum primis in,6928887184,dkleynd@odnoklassniki.ru,Phone Call,Akamai,Amazon Fire TV,All Fire TV devices,HBO Max,,FireOS 7.6.1.3,Puerto Rico,San Juan,,033b6c56-f5fd-4eef-98e6-917e80aaa47a,Video,connerrobert,98-9936489,1172292,1184859
Personalized suggestions and recommendations for content,Mobile,23/08/2022 00:00:00,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,5396559713,bvickare@yahoo.com,Email,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Sling TV,,Windows 10,Turkey,Ankara,,314cb42b-6114-42ad-a1ff-0ef13ef5092d,Video,pford,47-9657230,1154808,357186
Customer Support,Desktop,10/04/2022 00:00:00,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,2226238581,mblissittf@mlb.com,Chat,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Amazon Prime Video,,Extension 6.5,Mauritius,Port Louis,,2e26460d-dff6-4bfb-a759-ceda468c8c27,Video,droach,54-4300627,1648542,2017178
Better user interface and workability,Desktop,11/04/2022 00:00:00,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,4803298777,gpostinsg@sohu.com,Chat,Akamai,iOS,iOS Min version 12.6,BigFlix,,macOS Ventura 13.0.1,Nauru,Yaren,,eee29be0-1377-4167-8876-f8d0b649264a,Advertise,dcalhoun,02-7689988,1193245,1790634
Offline content,Laptop,20/10/2022 00:00:00,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,6047641253,mrullerh@spotify.com,Chat,Akamai,tvOS,tvOS 11.0,Alt Balaji,,Xcode 14.1,Belarus,Minsk,,4a61a6f9-9850-41da-9322-98c4c1f86764,Advertise,cantumichelle,88-0360257,1740408,1107428
Better user interface and workability,Tablets,21/06/2022 00:00:00,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,4957209898,coakwoodi@friendfeed.com,Chat,Akamai,Android,Android 5.0,Voot,,Android 11,Norway,Oslo,,9a11e578-255b-4c77-b0c9-74f53ec11f14,Video,samantha51,87-8344152,1250076,1334421
Functionalities and features of the app,Mobile,05/07/2022 00:00:00,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,2352611067,jgregorioj@weibo.com,Phone Call,Akamai,Android TV,Android TV 1st Generation,Peacock,,Android TV 12.3.2,Taiwan,Taipei,,3ce9793d-b90e-4546-9c33-c6e40ffdf44d,Advertise,gordonoscar,10-7570227,1616625,1823789
Device/Browser Compatibility,TV,14/11/2022 00:00:00,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,3746515599,lfearbyk@quantcast.com,Email,Cloudfront,Roku,Roku OS 9.4 3rd Generation,ShemarooMe,,None,Christmas Island,Flying Fish Cove,,da00d3e0-2a9f-4336-97a7-8366e8d7b428,Advertise,jmeyer,92-5620185,1428429,1224106
Functionalities and features of the app,Desktop,02/12/2021 00:00:00,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,8386555025,siacobinil@alexa.com,Chat,Akamai,Amazon Fire TV,All Fire TV devices,Eros Now,,FireOS 7.6.1.3,Madagascar,Antananarivo,,dc6ba8e4-3781-45bb-aad0-583aaf9a458d,Advertise,brooksnicole,22-0556513,1272219,2393048
Offline content,Mobile,03/06/2022 00:00:00,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,4626940536,aoakleym@ovh.net,Chat,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Eros Now,,Windows 10,Montserrat,Plymouth,,3f224475-a657-4154-9751-a529058067b3,Video,pthompson,86-7215759,1771414,32412
Security and anti-piracy,Laptop,04/09/2022 00:00:00,aliquam sit amet diam in magna bibendum imperdiet nullam orci,4219164820,wsandfordn@imgur.com,Email,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,Disney + Hotstar,,Extension 6.5,Moldova,Chisinau,,8d8960a4-33ca-4645-b91c-f39816f38b61,Advertise,qhobbs,20-8416494,1666563,366548
Customer Support,Mobile,08/12/2021 00:00:00,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,3203441896,bdallendero@vistaprint.com,Phone Call,Akamai,iOS,iOS Min version 12.6,Sling TV,,macOS Ventura 13.0.1,Trinidad and Tobago,Port of Spain,,3a7b19ed-398c-4b71-8b85-73d5f549a5ef,Advertise,latoyaburton,24-3240628,1847764,730165
